dataset,query_id,question_number,question_source,method,arity_f1,entity_set_f1,row_matching_f1,exact_match_f1,status
bldg11,MORTAR_004,2,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_004,3,human,BrickQA,1,1,1,1,success
bldg11,MORTAR_004,3,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_004,4,LLM_1,BrickQA,1,1,1,1,success
bldg11,MORTAR_004,4,LLM_1,ReAct,,0,0,0,no_results
bldg11,MORTAR_004,5,LLM_2,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_004,5,LLM_2,ReAct,,0,0,0,no_results
bldg11,MORTAR_004,6,LLM_3,BrickQA,1,1,1,0,success
bldg11,MORTAR_004,6,LLM_3,ReAct,,0,0,0,no_results
bldg11,MORTAR_004,7,LLM_4,BrickQA,,,,,error
bldg11,MORTAR_004,7,LLM_4,ReAct,,0,0,0,no_results
bldg11,MORTAR_004,8,LLM_5,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_004,8,LLM_5,ReAct,,0,0,0,no_results
bldg11,MORTAR_005,1,human,BrickQA,1,0.976190476,0.976190476,0,success
bldg11,MORTAR_005,1,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_005,2,human,BrickQA,0.8,0,0,0,success
bldg11,MORTAR_005,2,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_005,3,LLM_1,BrickQA,0.75,1,1,0,success
bldg11,MORTAR_005,3,LLM_1,ReAct,,0,0,0,no_results
bldg11,MORTAR_005,4,LLM_2,BrickQA,1,0,0,0,success
bldg11,MORTAR_005,4,LLM_2,ReAct,,0,0,0,no_results
bldg11,MORTAR_005,5,LLM_3,BrickQA,1,0.976190476,0.976190476,0,success
bldg11,MORTAR_005,5,LLM_3,ReAct,,0,0,0,no_results
bldg11,MORTAR_005,6,LLM_4,BrickQA,0.75,1,1,0,success
bldg11,MORTAR_005,6,LLM_4,ReAct,,0,0,0,no_results
bldg11,MORTAR_005,7,LLM_5,BrickQA,1,1,1,0,success
bldg11,MORTAR_005,7,LLM_5,ReAct,,0,0,0,no_results
bldg11,MORTAR_006,1,human,BrickQA,0.8,0,0,0,success
bldg11,MORTAR_006,1,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_006,2,human,BrickQA,1,1,1,0,success
bldg11,MORTAR_006,2,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_006,3,human,BrickQA,1,1,1,0,success
bldg11,MORTAR_006,3,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_006,4,LLM_1,BrickQA,1,0.424883081,0,0,success
bldg11,MORTAR_006,4,LLM_1,ReAct,,0,0,0,no_results
bldg11,MORTAR_006,5,LLM_2,BrickQA,1,0.331845833,0,0,success
bldg11,MORTAR_006,5,LLM_2,ReAct,,0,0,0,no_results
bldg11,MORTAR_006,6,LLM_3,BrickQA,0.5,0,0,0,success
bldg11,MORTAR_006,6,LLM_3,ReAct,,0,0,0,no_results
bldg11,MORTAR_006,7,LLM_4,BrickQA,0.5,0,0,0,success
bldg11,MORTAR_006,7,LLM_4,ReAct,,0,0,0,no_results
bldg11,MORTAR_006,8,LLM_5,BrickQA,0.5,0,0,0,success
bldg11,MORTAR_006,8,LLM_5,ReAct,,0,0,0,no_results
bldg11,MORTAR_007,1,human,BrickQA,0.5,0,0,0,success
bldg11,MORTAR_007,1,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_007,2,human,BrickQA,0.5,0,0,0,success
bldg11,MORTAR_007,2,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_007,3,human,BrickQA,0.5,0,0,0,success
bldg11,MORTAR_007,3,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_007,4,human,BrickQA,0.5,0,0,0,success
bldg11,MORTAR_007,4,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_007,5,LLM_1,BrickQA,1,1,1,0,success
bldg11,MORTAR_007,5,LLM_1,ReAct,,0,0,0,no_results
bldg11,MORTAR_007,6,LLM_2,BrickQA,1,1,1,0,success
bldg11,MORTAR_007,6,LLM_2,ReAct,,0,0,0,no_results
bldg11,MORTAR_007,7,LLM_3,BrickQA,1,0.959810875,0.974358974,0,success
bldg11,MORTAR_007,7,LLM_3,ReAct,,0,0,0,no_results
bldg11,MORTAR_007,8,LLM_4,BrickQA,0.8,0,0,0,success
bldg11,MORTAR_007,8,LLM_4,ReAct,,0,0,0,no_results
bldg11,MORTAR_007,9,LLM_5,BrickQA,1,0.333333333,0,0,success
bldg11,MORTAR_007,9,LLM_5,ReAct,,0,0,0,no_results
bldg11,MORTAR_008,1,human,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_008,1,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_008,2,human,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_008,2,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_008,3,human,BrickQA,0.8,0.470588235,0,0,success
bldg11,MORTAR_008,3,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_008,4,human,BrickQA,1,0,0,0,success
bldg11,MORTAR_008,4,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_008,5,LLM_1,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_008,5,LLM_1,ReAct,,0,0,0,no_results
bldg11,MORTAR_008,6,LLM_2,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_008,6,LLM_2,ReAct,,0,0,0,no_results
bldg11,MORTAR_008,7,LLM_3,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_008,7,LLM_3,ReAct,,0,0,0,no_results
bldg11,MORTAR_008,8,LLM_4,BrickQA,0,0,0,0,no_results
bldg11,MORTAR_008,8,LLM_4,ReAct,,0,0,0,no_results
bldg11,MORTAR_008,9,LLM_5,BrickQA,0.666666667,0,0,0,success
bldg11,MORTAR_008,9,LLM_5,ReAct,,0,0,0,no_results
bldg11,MORTAR_009,1,human,BrickQA,0.5,0,0,0,success
bldg11,MORTAR_009,1,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_009,2,human,BrickQA,1,0.324652778,0,0,success
bldg11,MORTAR_009,2,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_009,3,human,BrickQA,0,0,0,0,success
bldg11,MORTAR_009,3,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_009,4,human,BrickQA,,,,,error
bldg11,MORTAR_009,4,human,ReAct,,0,0,0,no_results
bldg11,MORTAR_009,5,LLM_1,BrickQA,0,0,0,0,success
bldg11,MORTAR_009,5,LLM_1,ReAct,,0,0,0,no_results
bldg11,MORTAR_009,6,LLM_2,BrickQA,,,,,error
bldg11,MORTAR_009,6,LLM_2,ReAct,,0,0,0,no_results
bldg11,MORTAR_009,7,LLM_3,BrickQA,0,0,0,0,success
bldg11,MORTAR_009,7,LLM_3,ReAct,,0,0,0,no_results
bldg11,MORTAR_009,8,LLM_4,BrickQA,0,0,0,0,success
bldg11,MORTAR_009,8,LLM_4,ReAct,,0,0,0,no_results
bldg11,MORTAR_009,9,LLM_5,BrickQA,,,,,error
bldg11,MORTAR_009,9,LLM_5,ReAct,,0,0,0,no_results
TUC,TUC_001,1,human,BrickQA,1,1,1,1,success
TUC,TUC_001,1,human,ReAct,,0,0,0,no_results
TUC,TUC_001,2,LLM_1,BrickQA,1,1,1,1,success
TUC,TUC_001,2,LLM_1,ReAct,,0,0,0,no_results
TUC,TUC_001,3,LLM_2,BrickQA,1,1,1,1,success
TUC,TUC_001,3,LLM_2,ReAct,,0,0,0,no_results
TUC,TUC_001,4,LLM_3,BrickQA,1,1,1,1,success
TUC,TUC_001,4,LLM_3,ReAct,,0,0,0,no_results
TUC,TUC_001,5,LLM_4,BrickQA,1,1,1,1,success
TUC,TUC_001,5,LLM_4,ReAct,,0,0,0,no_results
TUC,TUC_001,6,LLM_5,BrickQA,0.8,1,1,0,success
TUC,TUC_001,6,LLM_5,ReAct,,0,0,0,no_results
TUC,TUC_002,1,human,BrickQA,1,1,1,1,success
TUC,TUC_002,1,human,ReAct,,0,0,0,no_results
TUC,TUC_002,2,LLM_1,BrickQA,1,1,1,1,success
TUC,TUC_002,2,LLM_1,ReAct,,0,0,0,no_results
TUC,TUC_002,3,LLM_2,BrickQA,1,1,1,1,success
TUC,TUC_002,3,LLM_2,ReAct,,0,0,0,no_results
TUC,TUC_002,4,LLM_3,BrickQA,1,1,1,1,success
TUC,TUC_002,4,LLM_3,ReAct,,0,0,0,no_results
TUC,TUC_002,5,LLM_4,BrickQA,1,1,1,1,success
TUC,TUC_002,5,LLM_4,ReAct,,0,0,0,no_results
TUC,TUC_002,6,LLM_5,BrickQA,1,1,1,1,success
TUC,TUC_002,6,LLM_5,ReAct,,0,0,0,no_results
TUC,TUC_003,1,human,BrickQA,1,1,1,1,success
TUC,TUC_003,1,human,ReAct,,0,0,0,no_results
TUC,TUC_003,2,LLM_1,BrickQA,1,1,1,1,success
TUC,TUC_003,2,LLM_1,ReAct,,0,0,0,no_results
TUC,TUC_003,3,LLM_2,BrickQA,1,1,1,1,success
TUC,TUC_003,3,LLM_2,ReAct,,0,0,0,no_results
TUC,TUC_003,4,LLM_3,BrickQA,1,1,1,1,success
TUC,TUC_003,4,LLM_3,ReAct,,0,0,0,no_results
TUC,TUC_003,5,LLM_4,BrickQA,1,1,1,1,success
TUC,TUC_003,5,LLM_4,ReAct,,0,0,0,no_results
TUC,TUC_003,6,LLM_5,BrickQA,1,1,1,1,success
TUC,TUC_003,6,LLM_5,ReAct,,0,0,0,no_results
TUC,TUC_004,1,human,BrickQA,1,1,1,1,success
TUC,TUC_004,1,human,ReAct,,0,0,0,no_results
TUC,TUC_004,2,LLM_1,BrickQA,1,0.986666667,0.666666667,0.666666667,success
TUC,TUC_004,2,LLM_1,ReAct,,0,0,0,no_results
TUC,TUC_004,3,LLM_2,BrickQA,1,1,1,1,success
TUC,TUC_004,3,LLM_2,ReAct,,0,0,0,no_results
TUC,TUC_004,4,LLM_3,BrickQA,1,1,1,1,success
TUC,TUC_004,4,LLM_3,ReAct,,0,0,0,no_results
TUC,TUC_004,5,LLM_4,BrickQA,0.8,1,1,0,success
TUC,TUC_004,5,LLM_4,ReAct,,0,0,0,no_results
TUC,TUC_004,6,LLM_5,BrickQA,1,1,1,1,success
TUC,TUC_004,6,LLM_5,ReAct,,0,0,0,no_results
TUC,TUC_005,1,human,BrickQA,1,1,1,1,success
TUC,TUC_005,1,human,ReAct,,0,0,0,no_results
TUC,TUC_005,2,LLM_1,BrickQA,1,1,1,1,success
TUC,TUC_005,2,LLM_1,ReAct,,0,0,0,no_results
TUC,TUC_005,3,LLM_2,BrickQA,1,1,1,1,success
TUC,TUC_005,3,LLM_2,ReAct,,0,0,0,no_results
TUC,TUC_005,4,LLM_3,BrickQA,1,1,1,1,success
TUC,TUC_005,4,LLM_3,ReAct,,0,0,0,no_results
TUC,TUC_005,5,LLM_4,BrickQA,1,1,1,1,success
TUC,TUC_005,5,LLM_4,ReAct,,0,0,0,no_results
TUC,TUC_005,6,LLM_5,BrickQA,0.8,1,1,0,success
TUC,TUC_005,6,LLM_5,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_001,1,human,BrickQA,0.888888889,0,0,0,success
Dflexlibs,DFLEXLIBS_001,1,human,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_001,2,LLM_1,BrickQA,0.461538462,0,0,0,success
Dflexlibs,DFLEXLIBS_001,2,LLM_1,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_001,3,LLM_2,BrickQA,1,1,0.00921659,0,success
Dflexlibs,DFLEXLIBS_001,3,LLM_2,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_001,4,LLM_3,BrickQA,0.823529412,0,0,0,success
Dflexlibs,DFLEXLIBS_001,4,LLM_3,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_001,5,LLM_4,BrickQA,0.571428571,0,0,0,success
Dflexlibs,DFLEXLIBS_001,5,LLM_4,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_001,6,LLM_5,BrickQA,0.461538462,0,0,0,success
Dflexlibs,DFLEXLIBS_001,6,LLM_5,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_002,1,human,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_002,1,human,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_002,2,LLM_1,BrickQA,0.8,1,0.333333333,0,success
Dflexlibs,DFLEXLIBS_002,2,LLM_1,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_002,3,LLM_2,BrickQA,0.8,1,1,0,success
Dflexlibs,DFLEXLIBS_002,3,LLM_2,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_002,4,LLM_3,BrickQA,0,0,0,0,success
Dflexlibs,DFLEXLIBS_002,4,LLM_3,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_002,5,LLM_4,BrickQA,0,0,0,0,success
Dflexlibs,DFLEXLIBS_002,5,LLM_4,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_002,6,LLM_5,BrickQA,0.8,0.333333333,0,0,success
Dflexlibs,DFLEXLIBS_002,6,LLM_5,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_003,1,human,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_003,1,human,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_003,2,LLM_1,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_003,2,LLM_1,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_003,3,LLM_2,BrickQA,0.5,1,0.5,0,success
Dflexlibs,DFLEXLIBS_003,3,LLM_2,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_003,4,LLM_3,BrickQA,1,1,0.5,0.5,success
Dflexlibs,DFLEXLIBS_003,4,LLM_3,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_003,5,LLM_4,BrickQA,0.666666667,1,0.5,0,success
Dflexlibs,DFLEXLIBS_003,5,LLM_4,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_003,6,LLM_5,BrickQA,0.666666667,1,0.5,0,success
Dflexlibs,DFLEXLIBS_003,6,LLM_5,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_004,1,human,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_004,1,human,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_004,2,LLM_1,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_004,2,LLM_1,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_004,3,LLM_2,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_004,3,LLM_2,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_004,4,LLM_3,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_004,4,LLM_3,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_004,5,LLM_4,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_004,5,LLM_4,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_004,6,LLM_5,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_004,6,LLM_5,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_005,1,human,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_005,1,human,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_005,2,LLM_1,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_005,2,LLM_1,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_005,3,LLM_2,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_005,3,LLM_2,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_005,4,LLM_3,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_005,4,LLM_3,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_005,5,LLM_4,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_005,5,LLM_4,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_005,6,LLM_5,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_005,6,LLM_5,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_006,1,human,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_006,1,human,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_006,2,LLM_1,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_006,2,LLM_1,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_006,3,LLM_2,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_006,3,LLM_2,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_006,4,LLM_3,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_006,4,LLM_3,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_006,5,LLM_4,BrickQA,0.666666667,1,1,0,success
Dflexlibs,DFLEXLIBS_006,5,LLM_4,ReAct,,0,0,0,no_results
Dflexlibs,DFLEXLIBS_006,6,LLM_5,BrickQA,1,1,1,1,success
Dflexlibs,DFLEXLIBS_006,6,LLM_5,ReAct,,0,0,0,no_results
