dataset,query_id,question_number,question_source,method,arity_f1,entity_set_f1,row_matching_f1,exact_match_f1,status
bldg11,MORTAR_001,2,human,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_001,2,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_001,3,human,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_001,3,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_001,4,human,BrickQA,1.0,0.4108635097493036,0.0,0.0,success
bldg11,MORTAR_001,4,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_001,5,LLM_1,BrickQA,1.0,1.0,0.9772209567198178,0.9772209567198178,success
bldg11,MORTAR_001,5,LLM_1,Gemini Flash 2.5,,0.98989898989899,0.2543894920251976,0.0,success
bldg11,MORTAR_001,6,LLM_2,BrickQA,1.0,1.0,0.9772209567198178,0.9772209567198178,success
bldg11,MORTAR_001,6,LLM_2,Gemini Flash 2.5,,0.9744683197617778,0.347127360385697,0.0,success
bldg11,MORTAR_001,7,LLM_3,BrickQA,1.0,0.7037315189490321,0.6896887159533074,0.6896887159533074,success
bldg11,MORTAR_001,7,LLM_3,Gemini Flash 2.5,,0.98989898989899,0.2543894920251976,0.0,success
bldg11,MORTAR_001,8,LLM_4,BrickQA,1.0,1.0,0.9772209567198178,0.9772209567198178,success
bldg11,MORTAR_001,8,LLM_4,Gemini Flash 2.5,,0.98989898989899,0.2543894920251976,0.0,success
bldg11,MORTAR_001,9,LLM_5,BrickQA,0.5714285714285714,1.0,1.0,0.0,success
bldg11,MORTAR_001,9,LLM_5,Gemini Flash 2.5,,0.4978217821782178,0.0,0.0,success
bldg11,MORTAR_002,1,human,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_002,1,human,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_002,2,human,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_002,2,human,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_002,3,human,BrickQA,1.0,1.0,1.0,1.0,success
bldg11,MORTAR_002,3,human,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_002,4,human,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_002,4,human,Gemini Flash 2.5,,0.4900662251655628,0.0,0.0,success
bldg11,MORTAR_002,5,LLM_1,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_002,5,LLM_1,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_002,6,LLM_2,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_002,6,LLM_2,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_002,7,LLM_3,BrickQA,1.0,0.0,0.0,0.0,success
bldg11,MORTAR_002,7,LLM_3,Gemini Flash 2.5,,0.5,0.0,0.0,success
bldg11,MORTAR_002,8,LLM_4,BrickQA,0.6666666666666666,0.9428571428571428,0.9428571428571428,0.0,success
bldg11,MORTAR_002,8,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_002,9,LLM_5,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_002,9,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_003,1,human,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_003,1,human,Gemini Flash 2.5,,1.0,0.6666666666666666,0.0,success
bldg11,MORTAR_003,2,human,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_003,2,human,Gemini Flash 2.5,,1.0,0.6666666666666666,0.0,success
bldg11,MORTAR_003,3,human,BrickQA,1.0,1.0,1.0,1.0,success
bldg11,MORTAR_003,3,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_003,4,LLM_1,BrickQA,1.0,1.0,1.0,1.0,success
bldg11,MORTAR_003,4,LLM_1,Gemini Flash 2.5,,1.0,0.6666666666666666,0.0,success
bldg11,MORTAR_003,5,LLM_2,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_003,5,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_003,6,LLM_3,BrickQA,0.0,0.0,0.0,0.0,success
bldg11,MORTAR_003,6,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_003,7,LLM_4,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_003,7,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_003,8,LLM_5,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_003,8,LLM_5,Gemini Flash 2.5,,1.0,0.6666666666666666,0.0,success
bldg11,MORTAR_004,1,human,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_004,1,human,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_004,2,human,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_004,2,human,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_004,3,human,BrickQA,1.0,1.0,1.0,1.0,success
bldg11,MORTAR_004,3,human,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_004,4,LLM_1,BrickQA,1.0,1.0,1.0,1.0,success
bldg11,MORTAR_004,4,LLM_1,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_004,5,LLM_2,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_004,5,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_004,6,LLM_3,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_004,6,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_004,7,LLM_4,BrickQA,1.0,0.49275362318840576,0.0,0.0,success
bldg11,MORTAR_004,7,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_004,8,LLM_5,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_004,8,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_005,1,human,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_005,1,human,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_005,2,human,BrickQA,0.8,0.0,0.0,0.0,success
bldg11,MORTAR_005,2,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_005,3,LLM_1,BrickQA,1.0,0.3333333333333333,0.0,0.0,success
bldg11,MORTAR_005,3,LLM_1,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_005,4,LLM_2,BrickQA,1.0,0.8132826141687362,0.6913996627318719,0.0,success
bldg11,MORTAR_005,4,LLM_2,Gemini Flash 2.5,,0.1713336902461923,0.0264900662251655,0.0,success
bldg11,MORTAR_005,5,LLM_3,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_005,5,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_005,6,LLM_4,BrickQA,0.8571428571428571,0.7971957090970522,0.6191369606003752,0.0,success
bldg11,MORTAR_005,6,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_005,7,LLM_5,BrickQA,1.0,0.4621065485628884,0.0,0.0,success
bldg11,MORTAR_005,7,LLM_5,Gemini Flash 2.5,,1.0,1.0,0.0,success
bldg11,MORTAR_006,1,human,BrickQA,0.8571428571428571,0.4248830812955314,0.0,0.0,success
bldg11,MORTAR_006,1,human,Gemini Flash 2.5,,1.0,0.1092746604905779,0.0,success
bldg11,MORTAR_006,2,human,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_006,2,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_006,3,human,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_006,3,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_006,4,LLM_1,BrickQA,0.8,0.0,0.0,0.0,success
bldg11,MORTAR_006,4,LLM_1,Gemini Flash 2.5,,0.5693937271929566,0.0242641628863804,0.0,success
bldg11,MORTAR_006,5,LLM_2,BrickQA,1.0,0.3958211699047584,0.0,0.0,success
bldg11,MORTAR_006,5,LLM_2,Gemini Flash 2.5,,0.6824882066970661,0.0997309761721752,0.0,success
bldg11,MORTAR_006,6,LLM_3,BrickQA,0.5,0.0,0.0,0.0,success
bldg11,MORTAR_006,6,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_006,7,LLM_4,BrickQA,0.5,0.0,0.0,0.0,success
bldg11,MORTAR_006,7,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_006,8,LLM_5,BrickQA,0.0,0.0,0.0,0.0,failed
bldg11,MORTAR_006,8,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_007,1,human,BrickQA,0.0,0.0,0.0,0.0,success
bldg11,MORTAR_007,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_007,2,human,BrickQA,0.5,0.0,0.0,0.0,success
bldg11,MORTAR_007,2,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_007,3,human,BrickQA,0.5,0.0,0.0,0.0,success
bldg11,MORTAR_007,3,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_007,4,human,BrickQA,1.0,0.6666666666666666,0.0,0.0,success
bldg11,MORTAR_007,4,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_007,5,LLM_1,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_007,5,LLM_1,Gemini Flash 2.5,,1.0,0.5,0.0,success
bldg11,MORTAR_007,6,LLM_2,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_007,6,LLM_2,Gemini Flash 2.5,,1.0,0.5,0.0,success
bldg11,MORTAR_007,7,LLM_3,BrickQA,1.0,0.9598108747044917,0.9743589743589743,0.0,success
bldg11,MORTAR_007,7,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_007,8,LLM_4,BrickQA,0.8,0.0,0.0,0.0,success
bldg11,MORTAR_007,8,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_007,9,LLM_5,BrickQA,0.8,0.0,0.0,0.0,success
bldg11,MORTAR_007,9,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_008,1,human,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_008,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_008,2,human,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_008,2,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_008,3,human,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_008,3,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_008,4,human,BrickQA,0.6666666666666666,1.0,0.6666666666666666,0.0,success
bldg11,MORTAR_008,4,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_008,5,LLM_1,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_008,5,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_008,6,LLM_2,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_008,6,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_008,7,LLM_3,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_008,7,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_008,8,LLM_4,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_008,8,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_008,9,LLM_5,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_008,9,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_009,1,human,BrickQA,0.5,0.0,0.0,0.0,success
bldg11,MORTAR_009,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_009,2,human,BrickQA,1.0,0.9922879177377891,0.3926482873851295,0.3926482873851295,success
bldg11,MORTAR_009,2,human,Gemini Flash 2.5,,1.0,0.2704257767548907,0.0,success
bldg11,MORTAR_009,3,human,BrickQA,0.8,0.0,0.0,0.0,success
bldg11,MORTAR_009,3,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_009,4,human,BrickQA,0.8,0.0,0.0,0.0,success
bldg11,MORTAR_009,4,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_009,5,LLM_1,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_009,5,LLM_1,Gemini Flash 2.5,,1.0,0.2704257767548907,0.0,success
bldg11,MORTAR_009,6,LLM_2,BrickQA,1.0,1.0,1.0,0.0,success
bldg11,MORTAR_009,6,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_009,7,LLM_3,BrickQA,0.8,0.0,0.0,0.0,success
bldg11,MORTAR_009,7,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_009,8,LLM_4,BrickQA,0.5,0.0,0.0,0.0,success
bldg11,MORTAR_009,8,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,success
bldg11,MORTAR_009,9,LLM_5,BrickQA,0.8,0.0,0.0,0.0,success
bldg11,MORTAR_009,9,LLM_5,Gemini Flash 2.5,,0.2696500286861732,0.0,0.0,success
